activation_hidden,activation_output,num_units1,num_units2,dropout,optimizer,Accuracy
relu,sigmoid,256.0,128.0,0.0,adam,0.921875
relu,sigmoid,256.0,64.0,0.0,adam,0.918749988079071
relu,softmax,256.0,256.0,0.5,adam,0.915624976158142
relu,sigmoid,128.0,256.0,0.5,adam,0.915624976158142
relu,softmax,256.0,128.0,0.5,adam,0.912500023841858
relu,sigmoid,64.0,256.0,0.5,adam,0.912500023841858
relu,softmax,256.0,256.0,0.0,adam,0.909375011920929
relu,sigmoid,256.0,128.0,0.5,adam,0.909375011920929
relu,softmax,256.0,64.0,0.0,adam,0.909375011920929
relu,sigmoid,256.0,256.0,0.5,adam,0.909375011920929
relu,softmax,128.0,128.0,0.0,adam,0.90625
relu,sigmoid,128.0,64.0,0.0,adam,0.90625
relu,softmax,64.0,256.0,0.5,adam,0.90625
relu,sigmoid,128.0,256.0,0.0,adam,0.90625
relu,softmax,128.0,64.0,0.0,adam,0.903124988079071
relu,sigmoid,64.0,256.0,0.0,adam,0.903124988079071
relu,sigmoid,256.0,256.0,0.0,adam,0.8999999761581421
relu,sigmoid,128.0,32.0,0.0,adam,0.8999999761581421
relu,softmax,128.0,32.0,0.0,adam,0.8999999761581421
relu,softmax,32.0,256.0,0.0,adam,0.8999999761581421
relu,softmax,128.0,256.0,0.5,adam,0.8999999761581421
relu,sigmoid,256.0,64.0,0.5,adam,0.8999999761581421
relu,softmax,64.0,128.0,0.0,adam,0.8999999761581421
relu,softmax,64.0,256.0,0.0,adam,0.8968750238418579
relu,softmax,32.0,256.0,0.5,adam,0.8968750238418579
relu,sigmoid,32.0,256.0,0.0,adam,0.8968750238418579
relu,sigmoid,128.0,128.0,0.5,adam,0.893750011920929
relu,sigmoid,128.0,64.0,0.5,adam,0.893750011920929
relu,sigmoid,128.0,128.0,0.0,adam,0.890625
relu,softmax,256.0,64.0,0.5,adam,0.890625
relu,softmax,64.0,128.0,0.5,adam,0.890625
relu,softmax,128.0,256.0,0.0,adam,0.890625
relu,sigmoid,256.0,32.0,0.0,adam,0.887499988079071
relu,softmax,256.0,32.0,0.0,adam,0.887499988079071
relu,softmax,256.0,128.0,0.0,adam,0.887499988079071
relu,sigmoid,32.0,128.0,0.0,adam,0.887499988079071
relu,sigmoid,64.0,128.0,0.0,adam,0.8843749761581421
relu,sigmoid,64.0,32.0,0.0,adam,0.8843749761581421
relu,softmax,128.0,128.0,0.5,adam,0.8843749761581421
relu,sigmoid,32.0,64.0,0.0,adam,0.8843749761581421
relu,softmax,64.0,64.0,0.0,adam,0.8812500238418579
relu,softmax,32.0,64.0,0.0,adam,0.8812500238418579
relu,sigmoid,64.0,128.0,0.5,adam,0.8812500238418579
relu,softmax,64.0,32.0,0.0,adam,0.8812500238418579
relu,sigmoid,64.0,64.0,0.0,adam,0.878125011920929
relu,softmax,32.0,128.0,0.0,adam,0.875
relu,sigmoid,32.0,256.0,0.5,adam,0.871874988079071
relu,softmax,256.0,32.0,0.5,adam,0.871874988079071
relu,sigmoid,32.0,32.0,0.0,adam,0.862500011920929
relu,softmax,128.0,64.0,0.5,adam,0.862500011920929
relu,sigmoid,256.0,32.0,0.5,adam,0.856249988079071
relu,softmax,32.0,32.0,0.0,adam,0.846875011920929
relu,sigmoid,32.0,128.0,0.5,adam,0.84375
sigmoid,sigmoid,256.0,256.0,0.0,adam,0.840624988079071
relu,softmax,32.0,128.0,0.5,adam,0.840624988079071
relu,softmax,64.0,64.0,0.5,adam,0.8374999761581421
relu,sigmoid,128.0,32.0,0.5,adam,0.8374999761581421
relu,sigmoid,64.0,64.0,0.5,adam,0.824999988079071
relu,sigmoid,32.0,64.0,0.5,adam,0.8218749761581421
relu,softmax,128.0,32.0,0.5,adam,0.8218749761581421
sigmoid,softmax,256.0,256.0,0.0,adam,0.8218749761581421
relu,softmax,32.0,64.0,0.5,adam,0.8062499761581421
relu,softmax,64.0,32.0,0.5,adam,0.800000011920929
sigmoid,softmax,256.0,128.0,0.0,adam,0.796875
relu,sigmoid,64.0,32.0,0.5,adam,0.784375011920929
sigmoid,softmax,256.0,64.0,0.0,adam,0.784375011920929
sigmoid,sigmoid,128.0,256.0,0.0,adam,0.78125
sigmoid,sigmoid,256.0,128.0,0.0,adam,0.7749999761581421
relu,sigmoid,32.0,32.0,0.5,adam,0.765625
sigmoid,sigmoid,256.0,64.0,0.0,adam,0.762499988079071
sigmoid,sigmoid,128.0,128.0,0.0,adam,0.7593749761581421
relu,softmax,32.0,32.0,0.5,adam,0.7593749761581421
sigmoid,softmax,128.0,256.0,0.0,adam,0.753125011920929
sigmoid,softmax,128.0,128.0,0.0,adam,0.753125011920929
sigmoid,softmax,256.0,256.0,0.5,adam,0.737500011920929
sigmoid,sigmoid,64.0,256.0,0.0,adam,0.737500011920929
sigmoid,sigmoid,256.0,256.0,0.5,adam,0.7281249761581421
sigmoid,sigmoid,128.0,64.0,0.0,adam,0.721875011920929
sigmoid,softmax,256.0,32.0,0.0,adam,0.71875
sigmoid,softmax,128.0,64.0,0.0,adam,0.71875
sigmoid,sigmoid,256.0,128.0,0.5,adam,0.715624988079071
sigmoid,softmax,64.0,256.0,0.0,adam,0.7093750238418579
sigmoid,softmax,256.0,128.0,0.5,adam,0.7093750238418579
sigmoid,softmax,128.0,256.0,0.5,adam,0.699999988079071
sigmoid,sigmoid,64.0,128.0,0.0,adam,0.6968749761581421
sigmoid,sigmoid,128.0,256.0,0.5,adam,0.6968749761581421
sigmoid,sigmoid,256.0,32.0,0.0,adam,0.684374988079071
sigmoid,softmax,64.0,128.0,0.0,adam,0.684374988079071
sigmoid,softmax,128.0,128.0,0.5,adam,0.671875
sigmoid,sigmoid,128.0,128.0,0.5,adam,0.6625000238418579
sigmoid,softmax,64.0,64.0,0.0,adam,0.6625000238418579
sigmoid,sigmoid,64.0,64.0,0.0,adam,0.6499999761581421
sigmoid,softmax,64.0,256.0,0.5,adam,0.6499999761581421
sigmoid,sigmoid,32.0,256.0,0.0,adam,0.6468750238418579
sigmoid,sigmoid,256.0,64.0,0.5,adam,0.643750011920929
sigmoid,softmax,256.0,64.0,0.5,adam,0.640625
sigmoid,sigmoid,64.0,256.0,0.5,adam,0.640625
sigmoid,softmax,32.0,256.0,0.0,adam,0.637499988079071
sigmoid,sigmoid,128.0,32.0,0.0,adam,0.6312500238418579
sigmoid,softmax,128.0,32.0,0.0,adam,0.628125011920929
sigmoid,sigmoid,32.0,128.0,0.0,adam,0.6187499761581421
sigmoid,softmax,128.0,64.0,0.5,adam,0.609375
sigmoid,sigmoid,128.0,64.0,0.5,adam,0.596875011920929
sigmoid,softmax,32.0,128.0,0.0,adam,0.59375
sigmoid,sigmoid,64.0,128.0,0.5,adam,0.590624988079071
sigmoid,softmax,64.0,32.0,0.0,adam,0.5874999761581421
sigmoid,sigmoid,64.0,32.0,0.0,adam,0.578125
sigmoid,softmax,64.0,128.0,0.5,adam,0.578125
sigmoid,sigmoid,32.0,64.0,0.0,adam,0.5718749761581421
sigmoid,sigmoid,256.0,32.0,0.5,adam,0.5718749761581421
sigmoid,softmax,32.0,64.0,0.0,adam,0.5718749761581421
sigmoid,softmax,256.0,32.0,0.5,adam,0.550000011920929
sigmoid,softmax,64.0,64.0,0.5,adam,0.5406249761581421
sigmoid,softmax,32.0,256.0,0.5,adam,0.5375000238418579
sigmoid,sigmoid,64.0,64.0,0.5,adam,0.534375011920929
sigmoid,sigmoid,32.0,256.0,0.5,adam,0.534375011920929
sigmoid,sigmoid,128.0,32.0,0.5,adam,0.5249999761581421
sigmoid,softmax,128.0,32.0,0.5,adam,0.5093749761581421
sigmoid,sigmoid,32.0,128.0,0.5,adam,0.503125011920929
sigmoid,softmax,32.0,128.0,0.5,adam,0.481249988079071
sigmoid,softmax,32.0,32.0,0.0,adam,0.4781250059604645
sigmoid,sigmoid,32.0,32.0,0.0,adam,0.4718750119209289
sigmoid,sigmoid,32.0,64.0,0.5,adam,0.453125
sigmoid,sigmoid,64.0,32.0,0.5,adam,0.434374988079071
sigmoid,softmax,32.0,64.0,0.5,adam,0.434374988079071
sigmoid,softmax,64.0,32.0,0.5,adam,0.4250000119209289
relu,sigmoid,256.0,256.0,0.0,sgd,0.3531250059604645
sigmoid,sigmoid,32.0,32.0,0.5,adam,0.3531250059604645
relu,softmax,256.0,256.0,0.0,sgd,0.3375000059604645
sigmoid,softmax,32.0,32.0,0.5,adam,0.3375000059604645
relu,sigmoid,256.0,128.0,0.0,sgd,0.3218750059604645
relu,softmax,256.0,128.0,0.0,sgd,0.2906250059604645
relu,softmax,128.0,256.0,0.0,sgd,0.2843750119209289
relu,softmax,256.0,256.0,0.5,sgd,0.2750000059604645
relu,sigmoid,128.0,256.0,0.0,sgd,0.2687500119209289
relu,softmax,128.0,128.0,0.0,sgd,0.262499988079071
relu,sigmoid,256.0,128.0,0.5,sgd,0.2562499940395355
sigmoid,relu,256.0,256.0,0.5,adam,0.2562499940395355
sigmoid,relu,32.0,128.0,0.0,adam,0.2531250119209289
relu,sigmoid,256.0,256.0,0.5,sgd,0.2468750029802322
relu,sigmoid,256.0,64.0,0.0,sgd,0.2374999970197677
sigmoid,relu,64.0,256.0,0.5,adam,0.2312500029802322
relu,softmax,64.0,128.0,0.0,sgd,0.2312500029802322
relu,softmax,64.0,256.0,0.0,sgd,0.2312500029802322
relu,softmax,128.0,256.0,0.5,sgd,0.2249999940395355
relu,sigmoid,128.0,256.0,0.5,sgd,0.2249999940395355
relu,softmax,256.0,128.0,0.5,sgd,0.2218749970197677
relu,softmax,256.0,64.0,0.0,sgd,0.21875
relu,softmax,128.0,64.0,0.0,sgd,0.2125000059604644
relu,sigmoid,128.0,128.0,0.0,sgd,0.2093749940395355
relu,sigmoid,64.0,256.0,0.0,sgd,0.203125
relu,sigmoid,64.0,64.0,0.0,sgd,0.203125
relu,softmax,256.0,64.0,0.5,sgd,0.203125
relu,softmax,256.0,32.0,0.0,sgd,0.203125
relu,softmax,128.0,128.0,0.5,sgd,0.203125
relu,sigmoid,64.0,128.0,0.0,sgd,0.1968750059604644
relu,sigmoid,128.0,128.0,0.5,sgd,0.1968750059604644
relu,sigmoid,128.0,64.0,0.0,sgd,0.1937499940395355
relu,softmax,128.0,32.0,0.0,sgd,0.1937499940395355
relu,sigmoid,64.0,128.0,0.5,sgd,0.1906249970197677
relu,sigmoid,256.0,32.0,0.0,sgd,0.1906249970197677
relu,softmax,64.0,128.0,0.5,sgd,0.1875
relu,sigmoid,32.0,32.0,0.0,sgd,0.1875
relu,softmax,64.0,256.0,0.5,sgd,0.1875
relu,sigmoid,256.0,64.0,0.5,sgd,0.1843750029802322
relu,softmax,32.0,64.0,0.5,sgd,0.1812500059604644
relu,sigmoid,128.0,64.0,0.5,sgd,0.1812500059604644
relu,sigmoid,64.0,256.0,0.5,sgd,0.1812500059604644
relu,sigmoid,32.0,64.0,0.5,sgd,0.1781249940395355
relu,softmax,128.0,64.0,0.5,sgd,0.1781249940395355
relu,sigmoid,64.0,64.0,0.5,sgd,0.1781249940395355
relu,softmax,64.0,64.0,0.0,sgd,0.1781249940395355
relu,sigmoid,32.0,64.0,0.0,sgd,0.1781249940395355
relu,sigmoid,32.0,256.0,0.0,sgd,0.1781249940395355
relu,softmax,32.0,256.0,0.5,sgd,0.1749999970197677
relu,softmax,32.0,64.0,0.0,sgd,0.1749999970197677
relu,sigmoid,64.0,32.0,0.5,sgd,0.1749999970197677
relu,sigmoid,32.0,128.0,0.0,sgd,0.1749999970197677
relu,softmax,64.0,64.0,0.5,sgd,0.171875
relu,softmax,64.0,32.0,0.5,sgd,0.171875
relu,softmax,32.0,128.0,0.5,sgd,0.1687500029802322
relu,softmax,128.0,32.0,0.5,sgd,0.1656250059604644
relu,sigmoid,32.0,128.0,0.5,sgd,0.1656250059604644
relu,softmax,32.0,256.0,0.0,sgd,0.1656250059604644
relu,sigmoid,32.0,32.0,0.5,sgd,0.1593749970197677
sigmoid,relu,128.0,256.0,0.5,adam,0.1593749970197677
relu,sigmoid,32.0,256.0,0.5,sgd,0.1593749970197677
relu,tanh,128.0,256.0,0.5,adam,0.1593749970197677
relu,sigmoid,128.0,32.0,0.0,sgd,0.1593749970197677
relu,softmax,256.0,32.0,0.5,sgd,0.15625
relu,sigmoid,128.0,32.0,0.5,sgd,0.15625
relu,softmax,64.0,32.0,0.0,sgd,0.15625
relu,softmax,32.0,128.0,0.0,sgd,0.15625
relu,softmax,32.0,32.0,0.5,sgd,0.15625
relu,sigmoid,256.0,32.0,0.5,sgd,0.15625
relu,softmax,32.0,32.0,0.0,sgd,0.15625
relu,sigmoid,64.0,32.0,0.0,sgd,0.1531250029802322
sigmoid,relu,256.0,128.0,0.5,adam,0.140625
sigmoid,relu,128.0,128.0,0.5,adam,0.140625
relu,relu,64.0,64.0,0.0,sgd,0.1375000029802322
relu,relu,32.0,128.0,0.5,sgd,0.1312499940395355
sigmoid,relu,256.0,32.0,0.5,adam,0.1312499940395355
sigmoid,relu,256.0,64.0,0.5,adam,0.125
relu,tanh,64.0,64.0,0.5,adam,0.1218750029802322
sigmoid,relu,128.0,32.0,0.0,adam,0.1124999970197677
sigmoid,relu,64.0,64.0,0.5,adam,0.1124999970197677
relu,tanh,32.0,256.0,0.5,adam,0.109375
relu,tanh,128.0,64.0,0.0,adam,0.1062500029802322
relu,tanh,64.0,128.0,0.5,adam,0.1062500029802322
sigmoid,relu,64.0,32.0,0.5,adam,0.1000000014901161
relu,tanh,64.0,128.0,0.0,sgd,0.1000000014901161
sigmoid,tanh,32.0,256.0,0.0,sgd,0.1000000014901161
sigmoid,relu,256.0,128.0,0.5,sgd,0.1000000014901161
sigmoid,tanh,32.0,64.0,0.0,adam,0.1000000014901161
relu,relu,32.0,256.0,0.0,sgd,0.1000000014901161
sigmoid,relu,32.0,128.0,0.0,sgd,0.1000000014901161
sigmoid,tanh,64.0,256.0,0.0,adam,0.1000000014901161
sigmoid,tanh,32.0,32.0,0.5,sgd,0.1000000014901161
sigmoid,tanh,64.0,128.0,0.0,adam,0.1000000014901161
sigmoid,relu,128.0,32.0,0.5,adam,0.0968749970197677
relu,tanh,32.0,64.0,0.5,adam,0.0968749970197677
relu,tanh,64.0,128.0,0.0,adam,0.09375
relu,tanh,256.0,128.0,0.5,adam,0.0812499970197677
relu,relu,64.0,256.0,0.5,sgd,0.078125
sigmoid,tanh,64.0,256.0,0.0,sgd,0.0750000029802322
sigmoid,softmax,128.0,128.0,0.0,sgd,0.0750000029802322
relu,tanh,32.0,128.0,0.5,adam,0.0718749985098838
relu,tanh,256.0,256.0,0.5,adam,0.0718749985098838
sigmoid,sigmoid,128.0,256.0,0.0,sgd,0.0656249970197677
sigmoid,relu,32.0,64.0,0.5,adam,0.0656249970197677
relu,tanh,64.0,32.0,0.5,adam,0.0656249970197677
relu,relu,32.0,128.0,0.0,sgd,0.0625
relu,relu,64.0,128.0,0.5,sgd,0.0625
relu,tanh,32.0,32.0,0.5,adam,0.0625
relu,tanh,256.0,256.0,0.0,adam,0.0593749992549419
relu,tanh,256.0,64.0,0.0,adam,0.0593749992549419
sigmoid,sigmoid,64.0,256.0,0.5,sgd,0.0562499985098838
sigmoid,softmax,256.0,32.0,0.5,sgd,0.0562499985098838
sigmoid,sigmoid,32.0,256.0,0.0,sgd,0.0562499985098838
sigmoid,sigmoid,64.0,64.0,0.5,sgd,0.0562499985098838
sigmoid,softmax,32.0,32.0,0.0,sgd,0.0562499985098838
sigmoid,sigmoid,64.0,256.0,0.0,sgd,0.0562499985098838
